Name,Type,Sparsity
module.conv1.weight,Conv3d,0.4
module.bn1.weight,BatchNorm3d,0.6
module.layer1.0.conv1.weight,Conv3d,0.6
module.layer1.0.bn1.weight,BatchNorm3d,0.6
module.layer1.0.conv2.0.weight,Conv3d,0.6
module.layer1.0.conv2.1.weight,Conv3d,0.6
module.layer1.0.bn2.weight,BatchNorm3d,0.6
module.layer1.0.conv3.weight,Conv3d,0.6
module.layer1.0.bn3.weight,BatchNorm3d,0.6
module.layer1.0.downsample.0.weight,Conv3d,0.6
module.layer1.0.downsample.1.weight,BatchNorm3d,0.6
module.layer1.1.conv1.weight,Conv3d,0.6
module.layer1.1.bn1.weight,BatchNorm3d,0.6
module.layer1.1.conv2.0.weight,Conv3d,0.6
module.layer1.1.conv2.1.weight,Conv3d,0.6
module.layer1.1.bn2.weight,BatchNorm3d,0.6
module.layer1.1.conv3.weight,Conv3d,0.6
module.layer1.1.bn3.weight,BatchNorm3d,0.6
module.layer1.2.conv1.weight,Conv3d,0.6
module.layer1.2.bn1.weight,BatchNorm3d,0.6
module.layer1.2.conv2.0.weight,Conv3d,0.6
module.layer1.2.conv2.1.weight,Conv3d,0.6
module.layer1.2.bn2.weight,BatchNorm3d,0.6
module.layer1.2.conv3.weight,Conv3d,0.6
module.layer1.2.bn3.weight,BatchNorm3d,0.6
module.layer2.0.conv1.weight,Conv3d,0.6
module.layer2.0.bn1.weight,BatchNorm3d,0.6
module.layer2.0.conv2.0.weight,Conv3d,0.6
module.layer2.0.conv2.1.weight,Conv3d,0.6
module.layer2.0.bn2.weight,BatchNorm3d,0.6
module.layer2.0.conv3.weight,Conv3d,0.6
module.layer2.0.bn3.weight,BatchNorm3d,0.6
module.layer2.0.downsample.0.weight,Conv3d,0.6
module.layer2.0.downsample.1.weight,BatchNorm3d,0.6
module.layer2.1.conv1.weight,Conv3d,0.6
module.layer2.1.bn1.weight,BatchNorm3d,0.6
module.layer2.1.conv2.0.weight,Conv3d,0.6
module.layer2.1.conv2.1.weight,Conv3d,0.6
module.layer2.1.bn2.weight,BatchNorm3d,0.6
module.layer2.1.conv3.weight,Conv3d,0.6
module.layer2.1.bn3.weight,BatchNorm3d,0.6
module.layer2.2.conv1.weight,Conv3d,0.6
module.layer2.2.bn1.weight,BatchNorm3d,0.6
module.layer2.2.conv2.0.weight,Conv3d,0.6
module.layer2.2.conv2.1.weight,Conv3d,0.6
module.layer2.2.bn2.weight,BatchNorm3d,0.6
module.layer2.2.conv3.weight,Conv3d,0.6
module.layer2.2.bn3.weight,BatchNorm3d,0.6
module.layer2.3.conv1.weight,Conv3d,0.6
module.layer2.3.bn1.weight,BatchNorm3d,0.6
module.layer2.3.conv2.0.weight,Conv3d,0.6
module.layer2.3.conv2.1.weight,Conv3d,0.6
module.layer2.3.bn2.weight,BatchNorm3d,0.6
module.layer2.3.conv3.weight,Conv3d,0.6
module.layer2.3.bn3.weight,BatchNorm3d,0.6
module.layer3.0.conv1.weight,Conv3d,0.6
module.layer3.0.bn1.weight,BatchNorm3d,0.6
module.layer3.0.conv2.0.weight,Conv3d,0.6
module.layer3.0.conv2.1.weight,Conv3d,0.6
module.layer3.0.bn2.weight,BatchNorm3d,0.6
module.layer3.0.conv3.weight,Conv3d,0.6
module.layer3.0.bn3.weight,BatchNorm3d,0.6
module.layer3.0.downsample.0.weight,Conv3d,0.6
module.layer3.0.downsample.1.weight,BatchNorm3d,0.6
module.layer3.1.conv1.weight,Conv3d,0.6
module.layer3.1.bn1.weight,BatchNorm3d,0.6
module.layer3.1.conv2.0.weight,Conv3d,0.6
module.layer3.1.conv2.1.weight,Conv3d,0.6
module.layer3.1.bn2.weight,BatchNorm3d,0.6
module.layer3.1.conv3.weight,Conv3d,0.6
module.layer3.1.bn3.weight,BatchNorm3d,0.6
module.layer3.2.conv1.weight,Conv3d,0.6
module.layer3.2.bn1.weight,BatchNorm3d,0.6
module.layer3.2.conv2.0.weight,Conv3d,0.6
module.layer3.2.conv2.1.weight,Conv3d,0.6
module.layer3.2.bn2.weight,BatchNorm3d,0.6
module.layer3.2.conv3.weight,Conv3d,0.6
module.layer3.2.bn3.weight,BatchNorm3d,0.6
module.layer3.3.conv1.weight,Conv3d,0.6
module.layer3.3.bn1.weight,BatchNorm3d,0.6
module.layer3.3.conv2.0.weight,Conv3d,0.6
module.layer3.3.conv2.1.weight,Conv3d,0.6
module.layer3.3.bn2.weight,BatchNorm3d,0.6
module.layer3.3.conv3.weight,Conv3d,0.6
module.layer3.3.bn3.weight,BatchNorm3d,0.6
module.layer3.4.conv1.weight,Conv3d,0.6
module.layer3.4.bn1.weight,BatchNorm3d,0.6
module.layer3.4.conv2.0.weight,Conv3d,0.6
module.layer3.4.conv2.1.weight,Conv3d,0.6
module.layer3.4.bn2.weight,BatchNorm3d,0.6
module.layer3.4.conv3.weight,Conv3d,0.6
module.layer3.4.bn3.weight,BatchNorm3d,0.6
module.layer3.5.conv1.weight,Conv3d,0.6
module.layer3.5.bn1.weight,BatchNorm3d,0.6
module.layer3.5.conv2.0.weight,Conv3d,0.6
module.layer3.5.conv2.1.weight,Conv3d,0.6
module.layer3.5.bn2.weight,BatchNorm3d,0.6
module.layer3.5.conv3.weight,Conv3d,0.6
module.layer3.5.bn3.weight,BatchNorm3d,0.6
module.layer4.0.conv1.weight,Conv3d,0.6
module.layer4.0.bn1.weight,BatchNorm3d,0.6
module.layer4.0.conv2.0.weight,Conv3d,0.6
module.layer4.0.conv2.1.weight,Conv3d,0.6
module.layer4.0.bn2.weight,BatchNorm3d,0.6
module.layer4.0.conv3.weight,Conv3d,0.6
module.layer4.0.bn3.weight,BatchNorm3d,0.6
module.layer4.0.downsample.0.weight,Conv3d,0.6
module.layer4.0.downsample.1.weight,BatchNorm3d,0.6
module.layer4.1.conv1.weight,Conv3d,0.6
module.layer4.1.bn1.weight,BatchNorm3d,0.6
module.layer4.1.conv2.0.weight,Conv3d,0.6
module.layer4.1.conv2.1.weight,Conv3d,0.6
module.layer4.1.bn2.weight,BatchNorm3d,0.6
module.layer4.1.conv3.weight,Conv3d,0.6
module.layer4.1.bn3.weight,BatchNorm3d,0.6
module.layer4.2.conv1.weight,Conv3d,0.6
module.layer4.2.bn1.weight,BatchNorm3d,0.6
module.layer4.2.conv2.0.weight,Conv3d,0.6
module.layer4.2.conv2.1.weight,Conv3d,0.6
module.layer4.2.bn2.weight,BatchNorm3d,0.6
module.layer4.2.conv3.weight,Conv3d,0.6
module.layer4.2.bn3.weight,BatchNorm3d,0.6
module.fc.weight,Linear,0.6
